Leg	Site	Hole	Core	Core_type	Section_number	Section_type	Top_cm	Depth_mbsf	Section_id	Magnetic_susceptibility	Corrected_susceptibility	Run_number	Run_timestamp	Core_status	Liner_status	Requested_daq_interval	Requested_daqs_per_sample	Bkgd_susceptibility	Bkgd_elapsed_zero_time	Core_temperature	Loop_temperature	Sample_elapsed_zero_time	Actual_daq_period	Core_diameter
208	1263	C	12	H	5	S	22	269	391435	13	12.9465530082836796977183548902775759337	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	58843	4	6.6000000000000005
208	1263	C	12	H	5	S	25	269	391435	12.8	12.7402167199534951315215811655282662404	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	65819	4	6.6000000000000005
208	1263	C	12	H	5	S	27	269	391435	12.200000000000001	12.1338795233250980962069466647289638134	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	72796	4	6.6000000000000005
208	1263	C	12	H	5	S	30	269	391435	12.200000000000001	12.1275450515913384682458944920796395873	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	79770	4	6.6000000000000005
208	1263	C	12	H	5	S	32	269	391435	14	13.9212160296468536549920069757302717628	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	86738	4	6.6000000000000005
208	1263	C	12	H	5	S	35	269	391435	15	14.9148851911059439035023979072809184712	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	93708	4	6.6000000000000005
208	1263	C	12	H	5	S	37	269	391435	14.8	14.7085543525650341520127888388315651795	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	100678	4	6.6000000000000005
208	1263	C	12	H	5	S	40	269	391435	15.8	15.702225330620549338758901322482197355	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	107646	4	6.6000000000000005
208	1263	C	12	H	5	S	42	269	391435	14.200000000000001	14.095895400377852056387153030082836797	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	114615	4	6.6000000000000005
208	1263	C	12	H	5	S	45	269	391435	12.8	12.6895591120476674901903793053335271036	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	121591	4	6.6000000000000005
208	1263	C	12	H	5	S	47	269	391435	12.200000000000001	12.0832219154192704548757448045342246767	916	2003-04-05 09:07	FULL	FULL	2.5	4	0.5	550480	20.8	22	128568	4	6.6000000000000005
