Leg	Site	Hole	Core	Core_type	Section_number	Section_type	Top_cm	Depth_mbsf	Section_id	Density	Run_number	Run_timestamp	Core_status	Liner_status	Requested_daq_interval	Requested_daq_period	Actual_daq_period	Measured_counts	Core_diameter	Calibration_timestamp	Calib_density_m0	Calib_density_m1	Calib_density_mse
208	1262	C	1	H	2	S	30	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	39302	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	32	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38848	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	35	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38189	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	37	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38604	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	40	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	37834	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	42	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38072	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	45	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38785	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	47	91	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38777	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	50	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	39367	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	52	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38814	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	55	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	39157	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	57	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	39110	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	60	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38649	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	62	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38079	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	65	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38879	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	67	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38779	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	70	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	39374	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	72	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38814	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
208	1262	C	1	H	2	S	75	92	388060	1	311	2003-03-28 20:56:00	FULL	FULL	2.5	5	5	38595	6.6000000000000005	2003-03-18 07:14:00	21.6935	-2.2234000000000003	1.9999999999999998e-05
