"GO_STRUCT_NAME","GO_STRUCT_TYPE","JSON_NAME","CODE","JSON_UNIT","JSON_UNIT_DESCRIPT","JSON_DESCRIPT"
"Measured_time","sql.NullFloat64","Measured_time","*","mm","millimeters (mm)","Measurement value of the distance between a pair of transducers in mm."
"Measurement_no","int64","Measurement_no","--","","","The number of the measurement taken to differentiate multiple measurements taken at the same interval."
"Measurement_no","sql.NullInt64","Measurement_no","--","","","The number of the measurement taken to differentiate multiple measurements taken at the same interval."
"Method","string","Method","","","","Letter designation of the method of calculation for moisture and density measurements."
"Mgo_wt_pct","sql.NullFloat64","MgO_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Magnesium Oxide (MgO) in weight percent (wt%)."
"Micro_image_id","sql.NullInt64","Micro_image_id","","","","Identifier (ID) of a thin section microphotograph."
"Mno_wt_pct","sql.NullFloat64","MnO_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Manganese Oxide (MnO) in weight percent (wt%)."
"Mo_ppm","sql.NullFloat64","Mo_ppm","*","ppm","parts per million (ppm)","Measurement value of Molybdenum (Mo) in ppm."
"Mudline_temperature","sql.NullFloat64","Mudline_temperature","*","��C","degrees Celcius (��C)","Measurement value of the temperature at mudline in degrees celcius."
"Munsell_hvc","string","Munsell_hvc","*","","Munsell HVC","Measurement value of the Munsell HVC color notation."
"Na2o_wt_pct","sql.NullFloat64","Na2O_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Sodium Oxide (Na2O) in weight percent (wt%)."
"Nb_ppm","sql.NullFloat64","Nb_ppm","*","ppm","parts per million (ppm)","Measurement value of Niobium (Nb) in ppm."
"Nd_ppm","sql.NullFloat64","Nd_ppm","*","ppm","parts per million (ppm)","Measurement value of Neodymium (Nd) in ppm."
"Ni_ppm","sql.NullFloat64","Ni_ppm","*","ppm","parts per million (ppm)","Measurement value of Nickel (Ni) in ppm."
"Nit_wt_pct","sql.NullFloat64","Nit_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Nitrogen (N) in weight percent (wt%)."
"Normalized_susceptibility","float64","Normalized_susceptibility","@@ *","SI","SI","Measurement value of normalized magnetic susceptibility."
"Number_cycles","int64","Number_cycles","#","","","Number of measurements taken at the specified integration time to obtain an averaged result."
"Number_measured","int64","Number_measured","#","","","Number of measurements for each data point."
"Offset","float64","Offset","#","mm","millimeters (mm)","Distance core needed to be lowered from sensor in mm."
"Org_c_wt_pct","sql.NullFloat64","Org_C_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Organic Carbon in weight percent (wt%)."
"P2o5_wt_pct","sql.NullFloat64","P2O5_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Phosphorus pentoxide (P2O5) in weight percent (wt%)."
"Page_id","int64","Page_id","","","","Identifier (ID) for order of image for same data type and same stratigraphic level (core, section, interval or depth)."
"Paleo_sample_comment","sql.NullString","Paleo_sample_comment","","","","Remark about a paleo sample."
"Pb_ppm","sql.NullFloat64","Pb_ppm","*","ppm","parts per million (ppm)","Measurement value of Lead (Pb) in ppm."
"Percent_clay","sql.NullString","Percent_clay","*","%","percent (%)","Measurement value of Clay in percent."
"Percent_recovered","sql.NullFloat64","Percent_recovered","*","%","percent (%)","Measurement value of core recovered in percent."
"Percent_sand","sql.NullString","Percent_sand","*","%","percent (%)","Measurement value of Sand in percent."
"Percent_silt","sql.NullString","Percent_silt","*","%","percent (%)","Measurement value of Silt in percent."
"Piece","sql.NullInt64","Piece","","","","Sequential number for a piece of rock (hard rock samples) within a section."
"Piece_sub_piece","sql.NullString","Piece_sub_piece","","","","Concatenated designation of a piece (number) and sub-piece (letter) sub-piece of a rock (hard rock samples) within a section."
"Post_cruise_flag","string","Post_cruise_flag","","","","Flag to indicate analysis done post-cruise."
"Presence_absence_flag","sql.NullString","Presence_absence_flag","","","","Flag to indicate presence or absence of a taxon."
"Preservation_name","sql.NullString","Preservation_name","","","","Abbreviation for qualitative assessment of overall preservation state of specimens of a fossil group in a sample."
"Probe_number","int64","Probe_number","","","","Number that uniquely identifies a probe of a manufacturers instrument for associating measurements."
"Probe_temperature","float64","Probe_temperature","#","��C","degrees Celcius (��C)","Measurement value of the temperature of the probe in celcius degrees."
"Probe_type","string","Probe_type","","","","Type of needle probe: full-space (FULL; insertion into soft material) or half-space (HALF; contact with flat surface)."
"Range","int64","Range","#","g/cm��","grams per cm��(g/cm��)","Range of torvane - 200, 1000 or 2000 in g/cm^2."
"Raw_data_collected","sql.NullString","Raw_data_collected","","","","Flag to indicate if raw data was collected in association with measurement results for an instrument."
"Raw_strain_angle","sql.NullFloat64","Raw_strain_angle","@@ *","��","degrees","Measurement value of raw strain angle collected with automated vane system."
"Raw_torque_angle","sql.NullFloat64","Raw_torque_angle","@@ *","��","degrees","Measurement value of raw torque angle collected with automated vane system."
"Rb_ppm","sql.NullFloat64","Rb_ppm","","ppm","parts per million (ppm)","Measurement value of Rubidium (Rb) in ppm."
"Request_number","sql.NullString","Request_number","","","","Unique number assigned to a sample request."
"Requested_daq_interval","float64","Requested_daq_interval","-- #","cm","centimeters (cm)","The requested data acquisition interval in cm."
"Requested_daq_interval","sql.NullFloat64","Requested_daq_interval","-- #","cm","centimeters (cm)","The requested data acquisition interval in cm."
"Requested_daq_period","float64","Requested_daq_period","-- #","s","seconds (s)","The requested data acquisition period in seconds."
"Requested_daq_period","sql.NullFloat64","Requested_daq_period","-- #","s","seconds (s)","The requested data acquisition period in seconds."
"Requested_daqs_per_sample","sql.NullInt64","Requested_daqs_per_sample","#","","","The requested data acquisitions per sample interval."
"A_star","float64","A_star","*","","","Measurement value of the a* chromaticity green-red measurement of L*a*b* CIELAB system for color reflectance."
"Abundance_code","sql.NullString","Abundance_code","","","","Code for abundance of a component in a thin section or smear slide."
"Acoustic_signal_threshold","sql.NullFloat64","Acoustic_signal_threshold","#","","valid values from 0-255","The strength of the acoustic signal for a velocity measurement."
"Actual_daq_period","float64","Actual_daq_period","-- #","s","seconds (s)","The actual data acquisition period used for measurements in seconds."
"Actual_daq_period","sql.NullFloat64","Actual_daq_period","-- #","s","seconds (s)","The actual data acquisition period used for measurements in seconds."
"Adapter_used","sql.NullString","Adapter_used","","","","The adapter used for Penetrometer measurements in the physical properties laboratory."
"Age_ma","sql.NullFloat64","Age_ma","*","ma","millions of years (ma)","Age in millions of years (ma)."
"Age_model_type","string","Age_model_type","","","","The type of the age model - where or when it was constructed (shipboard, initial reports, post-moratorium)."
"Al2o3_wt_pct","sql.NullFloat64","Al2O3_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Aluminum Oxide (Al2O3) in weight percent (wt%)."
"Angle_motf","float64","Angle_motf","? *","��","degrees","Measurement value of the ""Magnetic Only tool face angle"" in degrees."
"Angle_mtf","float64","Angle_mtf","*","��","degrees","Measurement value of the angle between magnetic north and the double-line orientation mark on the core liner in degrees; ""Magnetic Tool Face"" angle."
"Attempted_daqs","sql.NullInt64","Attempted_daqs","#","","","Attempted number of data acqusitions."
"Avg_magnetic_susceptibility","float64","Avg_magnetic_susceptibility","*","SI","SI","The average measured susceptibility value in unitless volume susceptibility."
"B_star","float64","B_star","*","","","Measurement value of the b* chromaticity blue-yellow measurement of L*a*b* CIELAB system for color reflectance."
"Ba_ppm","sql.NullFloat64","Ba_ppm","*","ppm","parts per million (ppm)","Measurement value of Barium (Ba) in ppm."
"Background_total_counts","sql.NullFloat64","Background_total_counts","@@ *","cps","counts per second (cps)","Measurement of total background NGR counts in seconds."
"Be_ppm","sql.NullFloat64","Be_ppm","*","ppm","parts per million (ppm)","Measurement value of Beryllium (Be) in ppm."
"Bead_loi","sql.NullFloat64","Bead_loi","*","%","percent (%)","Measurement (calculated) value of sample weight lost after ignition in percent."
"Beaker_date_time","sql.NullString","Beaker_date_time","","","","The date and time calibration data for a MAD (Moisture and Density) beaker from the physical properties laboratory."
"Best_fit_error","sql.NullFloat64","Best_fit_error","*","��C","degrees Celcius (��C)","Measurement value of best-fit error in degrees celcius."
"Best_fit_temperature","sql.NullFloat64","Best_fit_temperature","*","��C","degrees Celcius (��C)","Measurement value of best-fit downhole temperature in degrees celcius."
"Bkgd_elapsed_zero_time","sql.NullInt64","Bkgd_elapsed_zero_time","","","","Time elapsed since start of a section run."
"Bkgd_susceptibility","sql.NullFloat64","Bkgd_susceptibility","@@ *","SI","SI","Measurement value of the background susceptibility at end of section run."
"Bot_cm","float64","Bot_cm","#","cm","centimeters (cm)","Bottom value of an interval of a section in cm."
"Bot_depth_mbsf","float64","Bot_depth_mbsf","#","mbsf","meters below sea floor (mbsf)","Bottom depth value in meters below sea floor (mbsf)."
"Caco3_wt_pct","sql.NullFloat64","CaCO3_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Calcium Carbonate (CaCO3) in weight percent (wt%)."
"Calc_bulk_density","sql.NullFloat64","Calc_bulk_density","*","g/cc","grams per cc (g/cc)","Measurement value of calculated bulk density in g/cc."
"Calc_dry_density","sql.NullFloat64","Calc_dry_density","*","g/cc","grams per cc (g/cc)","Measurement value of calculated dry_density in g/cc."
"Calc_grain_density","sql.NullFloat64","Calc_grain_density","*","","grams per cc (g/cc)","Measurement value of calculated grain density in g/cc."
"Calc_method","string","Calc_method","","","","Letter designation of the actual method of calculation for moisture and density measurements."
"Calc_porosity","sql.NullFloat64","Calc_porosity","*","%","percent (%)","Measurement value of calculated porosity in percent."
"Calc_void_ratio","sql.NullFloat64","Calc_void_ratio","*","","ratio","Measurement value of calculated void ratio."
"Calc_water_content_dry","sql.NullFloat64","Calc_water_content_dry","*","%","percent (%)","Measurement value of calculated water content (dry) in percent."
"Calc_water_content_wet","sql.NullFloat64","Calc_water_content_wet","*","%","percent (%)","Measurement value of calculated water content (wet) in percent."
"Calib_channel_energy_m0","sql.NullFloat64","Calib_channel_energy_m0","","","","Calibration channel energy intercept."
"Calib_channel_energy_m1","sql.NullFloat64","Calib_channel_energy_m1","","","","Calibration channel energy slope."
"Calib_channel_energy_mse","sql.NullFloat64","Calib_channel_energy_mse","","","","Calibration channel energy mean squared error."
"Calib_delay","sql.NullFloat64","Calib_delay","? *","","","Calibration delay."
"Calib_density_m0","float64","Calib_density_m0","","","","Calibration density intercept."
"Calib_density_m1","float64","Calib_density_m1","","","","Calibration density slope."
"Calib_density_mse","sql.NullFloat64","Calib_density_mse","","","","Calibration density mean squared error."
"Residual_strength","sql.NullFloat64","Residual_strength","*","kPa","kilopascal (kPa)","Measurement value of the residual strength of the sediment after shearing in kPa units."
"Residual_torque_angle","sql.NullFloat64","Residual_torque_angle","? *","��","degrees","Measurement value of the residual torque angle of the sediment after shearing in degrees."
"Resistivity","sql.NullFloat64","Resistivity","*","��","Ohms","Measurement value of resistivity in ohmm."
"Rotation_rate","sql.NullFloat64","Rotation_rate","#","��/min","degrees per minute (��/min)","The rate of rotation of a vane in degrees per minute."
"Run_comment","sql.NullString","Run_comment","","","","Remark on a run for analysis."
"Run_number","int64","Run_number","--","","","Number for a run for an analysis."
"Run_number","string","Run_number","--","","","Number for a run for an analysis."
"Run_timestamp","sql.NullString","Run_timestamp","--","","","Date/time of an analysis run."
"Run_timestamp","string","Run_timestamp","--","","","Date/time of an analysis run."
"S_ppm","sql.NullFloat64","S_ppm","*","ppm","parts per million (ppm)","Measurement value of Sulfur (S) in ppm."
"Sample_archive_working","sql.NullString","Sample_archive_working","","","","Denotes whether sample was taken from an archive or working core section."
"Sample_bulk_density","sql.NullFloat64","Sample_bulk_density","@@ *","","","Measurement value of sample bulk density by Method A or B."
"Sample_comment","sql.NullString","Sample_comment","","","","Remark on a sample."
"Sample_dry_density","sql.NullFloat64","Sample_dry_density","@@ *","","","Measurement value of sampled dry density."
"Sample_elapsed_zero_time","sql.NullInt64","Sample_elapsed_zero_time","#","s","seconds (s)","Time elapsed since start of run in seconds."
"Sample_geologic_age_old","sql.NullString","Sample_geologic_age_old","*","","","Oldest possible geologic age of a sample."
"Sample_geologic_age_young","sql.NullString","Sample_geologic_age_young","*","","","Youngest possible geologic age of a sample."
