struct_name	table_name	column_name	column_id	go_struct_name	go_struct_type	json_name	code	xs_type	json_unit	json_unit_descript	json_descript
JanusChemIw	OCD_CHEM_IW	TOP_CM	9	Top_cm	string	Top_cm		float	cm	centimeters (cm)	Top value of an interval of a section in cm.
JanusChemIw	OCD_CHEM_IW	BOT_CM	10	Bot_cm	string	Bot_cm		float	cm	centimeters (cm)	Bottom value of an interval of a section in cm.
JanusChemIw	OCD_CHEM_IW	DEPTH_MBSF	11	Depth_mbsf	sql.NullString	Depth_mbsf		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf).
JanusChemIw	OCD_CHEM_IW	DEPTH_MBSF_C	12	Depth_mbsf_c	sql.NullString	Depth_mbsf_c		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with compression applied.
JanusChemIw	OCD_CHEM_IW	DEPTH_MBSF_V	13	Depth_mbsf_v	sql.NullString	Depth_mbsf_v		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids removed.
JanusChemIw	OCD_CHEM_IW	DEPTH_MBSF_VC	14	Depth_mbsf_vc	sql.NullString	Depth_mbsf_vc		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids removed and compression applied.
JanusChemIw	OCD_CHEM_IW	DEPTH_MBSF_E	15	Depth_mbsf_e	sql.NullString	Depth_mbsf_e		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with exotics removed.
JanusChemIw	OCD_CHEM_IW	DEPTH_MBSF_EC	16	Depth_mbsf_ec	sql.NullString	Depth_mbsf_ec		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with exotics removed and compression applied.
JanusChemIw	OCD_CHEM_IW	DEPTH_MBSF_VE	17	Depth_mbsf_ve	sql.NullString	Depth_mbsf_ve		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids and exotics removed.
JanusChemIw	OCD_CHEM_IW	DEPTH_MBSF_VEC	18	Depth_mbsf_vec	sql.NullString	Depth_mbsf_vec		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) with voids and exotics removed and compression applied.
JanusChemIw	OCD_CHEM_IW	DEPTH_MCD	19	Depth_mcd	sql.NullString	Depth_mcd		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd).
JanusChemIw	OCD_CHEM_IW	DEPTH_MCD_C	20	Depth_mcd_c	sql.NullString	Depth_mcd_c		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with compression applied.
JanusChemIw	OCD_CHEM_IW	DEPTH_MCD_V	21	Depth_mcd_v	sql.NullString	Depth_mcd_v		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids removed.
JanusChemIw	OCD_CHEM_IW	DEPTH_MCD_VC	22	Depth_mcd_vc	sql.NullString	Depth_mcd_vc		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids removed and compression applied.
JanusChemIw	OCD_CHEM_IW	DEPTH_MCD_E	23	Depth_mcd_e	sql.NullString	Depth_mcd_e		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with exotics removed.
JanusChemIw	OCD_CHEM_IW	DEPTH_MCD_EC	24	Depth_mcd_ec	sql.NullString	Depth_mcd_ec		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with exotics removed and compression applied.
JanusChemIw	OCD_CHEM_IW	DEPTH_MCD_VE	25	Depth_mcd_ve	sql.NullString	Depth_mcd_ve		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids and exotics removed.
JanusChemIw	OCD_CHEM_IW	DEPTH_MCD_VEC	26	Depth_mcd_vec	sql.NullString	Depth_mcd_vec		float	mcd	meters composite depth (mcd)	Depth in meters composite depth (mcd) with voids and exotics removed and compression applied.
JanusChemIw	OCD_CHEM_IW	METHOD_CODE	27	Method_code	string	Method_code					Code for the method or instrument used for analyzing a sample.
JanusChemIw	OCD_CHEM_IW	AL_UM	28	Al_um	sql.NullString	Al_um		float	µM	micromoles/1000cm3 (µM)	Measurement value of Aluminum (Al) in the sample in micromoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	NH4_UM	29	Nh4_um	sql.NullString	NH4_um		float	µM	micromoles/1000cm3 (µM)	Measurement value of Ammonia (NH4) in the sample in micromoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	B_MM	30	B_mm	sql.NullString	B_mM		float	mM	millimoles/1000cm3 (mM)	Measurement value of Boron (B) in the sample in millimoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	BR_UM	31	Br_um	sql.NullString	Br_um		float	µM	micromoles/1000cm3 (µM)	Measurement value of Bromide (Br) in the sample in micromoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	CA_MM	32	Ca_mm	sql.NullString	Ca_mM		float	mM	millimoles/1000cm3 (mM)	Measurement value of Calcium (Ca) in the sample in millimoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	CL_MM	33	Cl_mm	sql.NullString	Cl_mM		float	mM	millimoles/1000cm3 (mM)	Measurement value of Chlorine (Cl) Chlorinity in the sample in millimoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	F_UM	34	F_um	sql.NullString	F_um		float	µM	micromoles/1000cm3 (µM)	Measurement value of Fluorine (F) Fluoride in the sample in micromoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	I_UM	35	I_um	sql.NullString	I_um		float	µM	micromoles/1000cm3 (µM)	Measurement value of Iodine (I) Iodide in the sample in micromoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	FE_UM	36	Fe_um	sql.NullString	Fe_um		float	µM	micromoles/1000cm3 (µM)	Measurement value of Iron (Fe) in the sample in micromoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	LI_UM	37	Li_um	sql.NullString	Li_um		float	µM	micromoles/1000cm3 (µM)	Measurement value of Lithium (Li) in the sample in micromoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	MG_MM	38	Mg_mm	sql.NullString	Mg_mM		float	mM	millimoles/1000cm3 (mM)	Measurement value of Magnesium (Mg) in the sample in millimoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	MN_UM	39	Mn_um	sql.NullString	Mn_um		float	µM	micromoles/1000cm3 (µM)	Measurement value of Manganese (Mn) in the sample in micromoles/1000cm3.
JanusChemIw	OCD_CHEM_IW	NO3_UM	40	No3_um	sql.NullString	NO3_um		float	µM	micromoles/1000cm3 (µM)	Measurement value of Nitrate (NO3) in the sample in micromoles/1000cm3.
